,,,,,,
,,Dates,Day,Net Consumption (kWh),,
,1,2024-01-01,1,11.0,,
,2,2024-01-02,2,11.0,,
,3,2024-01-03,3,11.0,,
,4,2024-01-04,4,11.0,,
,5,2024-01-05,5,11.0,,
,6,2024-01-06,6,11.0,,
,7,2024-01-07,7,13.0,,
,8,2024-01-08,8,11.0,,
,9,2024-01-09,9,11.0,,
,10,2024-01-10,10,12.0,,
,11,2024-01-11,11,17.0,,
,12,2024-01-12,12,20.0,,
,13,2024-01-13,13,20.0,,
,14,2024-01-14,14,15.0,,
,15,2024-01-15,15,11.0,,
,16,2024-01-16,16,9.0,,
,17,2024-01-17,17,7.0,,
,18,2024-01-18,18,8.0,,
,19,2024-01-19,19,5.0,,
,20,2024-01-20,20,8.0,,
,21,2024-01-21,21,3.0,,
,22,2024-01-22,22,3.0,,
,23,2024-01-23,23,4.0,,
,24,2024-01-24,24,3.0,,
,25,2024-01-25,25,3.0,,
,26,2024-01-26,26,4.0,,
,27,2024-01-27,27,2.0,,
,28,2024-01-28,28,4.0,,
,29,2024-01-29,29,3.0,,
,30,2024-01-30,30,3.0,,
,31,2024-01-31,31,9.0,,
,32,2024-02-01,32,,,
,33,2024-02-02,33,2.0,,
,34,2024-02-03,34,4.0,,
,35,2024-02-04,35,3.0,,
,36,2024-02-05,36,3.0,,
,37,2024-02-06,37,2.0,,
,38,2024-02-07,38,2.0,,
,39,2024-02-08,39,2.0,,
,40,2024-02-09,40,2.0,,
,41,2024-02-10,41,2.0,,
,42,2024-02-11,42,12.0,,
,43,2024-02-12,43,3.0,,
,44,2024-02-13,44,3.0,,
,45,2024-02-14,45,5.0,,
,46,2024-02-15,46,3.0,,
,47,2024-02-16,47,4.0,,
,48,2024-02-17,48,4.0,,
,49,2024-02-18,49,3.0,,
,50,2024-02-19,50,3.0,,
,51,2024-02-20,51,2.0,,
,52,2024-02-21,52,3.0,,
,53,2024-02-22,53,3.0,,
,54,2024-02-23,54,2.0,,
,55,2024-02-24,55,3.0,,
,56,2024-02-25,56,3.0,,
,57,2024-02-26,57,3.0,,
,58,2024-02-27,58,5.0,,
,59,2024-02-28,59,5.0,,
,60,2024-02-29,60,2.0,,
,61,2024-03-01,61,3.0,,
,62,2024-03-02,62,3.0,,
,63,2024-03-03,63,4.0,,
,64,2024-03-04,64,2.0,,
,65,2024-03-05,65,4.0,,
,66,2024-03-06,66,4.0,,
